Congressional District,State,State Abbreviation,District Number,Special Election,Candidate,Party,Candidate Votes,Total Votes,Candidate Percent
CA-34,California,CA,34,False,Kenneth Mejia,green,83422,303812,0.27458428238515925
CA-35,California,CA,35,False,Christian Leonel Valiente,republican,91208,298048,0.3060178226325961
CA-35,California,CA,35,False,Norma J. Torres,democrat,206840,298048,0.6939821773674039
CA-36,California,CA,36,False,Kimberlin Brown Pelzer,republican,169678,414016,0.40983440253516773
CA-36,California,CA,36,False,Raul Ruiz,democrat,244338,414016,0.5901655974648323
CA-37,California,CA,37,False,Karen Bass,democrat,421110,472756,0.890755484858997
CA-37,California,CA,37,False,Ron J. Bassilian,republican,51646,472756,0.10924451514100297
CA-38,California,CA,38,False,Linda T. Sanchez,democrat,278376,404312,0.6885177783493935
CA-38,California,CA,38,False,Ryan Downing,republican,125936,404312,0.31148222165060646
CA-39,California,CA,39,False,Gil Cisneros,democrat,252004,488786,0.5155712315819193
CA-39,California,CA,39,False,Young Kim,republican,236782,488786,0.4844287684180807
CA-4,California,CA,4,False,Jessica Morse,democrat,312506,681308,0.4586853522929424
CA-4,California,CA,4,False,Tom McClintock,republican,368802,681308,0.5413146477070576
CA-40,California,CA,40,False,Lucille Roybal-Allard,democrat,187876,242898,0.7734769327042627
CA-40,California,CA,40,False,Rodolfo Cortes Barragan,green,55022,242898,0.22652306729573732
CA-41,California,CA,41,False,Aja Smith,republican,116042,332496,0.3490026947692604
CA-41,California,CA,41,False,Mark Takano,democrat,216454,332496,0.6509973052307396
CA-42,California,CA,42,False,Julia C Peacock,democrat,201784,463864,0.43500681234154837
CA-42,California,CA,42,False,Ken Calvert,republican,262080,463864,0.5649931876584516
CA-43,California,CA,43,False,Maxine Waters,democrat,304544,392104,0.7766918980678595
CA-43,California,CA,43,False,Omar Navarro,republican,87560,392104,0.22330810193214046
CA-44,California,CA,44,False,Aja L. Brown,democrat,90756,286644,0.31661573240674845
CA-44,California,CA,44,False,Nanette Diaz Barragan,democrat,195888,286644,0.6833842675932515
CA-45,California,CA,45,False,Katie Porter,democrat,317812,610578,0.5205100740609717
CA-45,California,CA,45,False,Mimi Walters,republican,292766,610578,0.4794899259390283
CA-46,California,CA,46,False,Lou Correa,democrat,204556,295832,0.6914600178479677
CA-46,California,CA,46,False,Russell Rene Lambert,republican,91276,295832,0.3085399821520322
CA-47,California,CA,47,False,Alan Lowenthal,democrat,286708,442072,0.6485549865180332
CA-47,California,CA,47,False,John Briscoe,republican,155364,442072,0.3514450134819667
CA-48,California,CA,48,False,Dana Rohrabacher,republican,273798,589472,0.46448007708593453
CA-48,California,CA,48,False,Harley Rouda,democrat,315674,589472,0.5355199229140655
CA-49,California,CA,49,False,Diane L. Harkey,republican,257154,590060,0.4358099176354947
CA-49,California,CA,49,False,Mike Levin,democrat,332906,590060,0.5641900823645053
CA-5,California,CA,5,False,Anthony Mills,no party preference,110316,522036,0.21131875962577293
CA-5,California,CA,5,False,Mike Thompson,democrat,411720,522036,0.788681240374227
CA-50,California,CA,50,False,Ammar Campa-Najjar,democrat,250896,519620,0.4828451560755937
CA-50,California,CA,50,False,Duncan Hunter,republican,268724,519620,0.5171548439244062
CA-51,California,CA,51,False,Juan M. Hidalgo Jr.,republican,88602,307656,0.2879904828769795
CA-51,California,CA,51,False,Juan Vargas,democrat,219054,307656,0.7120095171230205
CA-52,California,CA,52,False,Omar Qudrat,republican,214030,592014,0.36152861249902873
CA-52,California,CA,52,False,Scott Peters,democrat,377984,592014,0.6384713875009712
CA-53,California,CA,53,False,Morgan Murtaugh,republican,166254,537588,0.30925913524855464
CA-53,California,CA,53,False,Susan A. Davis,democrat,371334,537588,0.6907408647514454
CA-6,California,CA,6,False,Doris Matsui,democrat,324822,403878,0.8042577213911132
CA-6,California,CA,6,False,Jrmar Jefferson,democrat,79056,403878,0.19574227860888685
CA-7,California,CA,7,False,Ami Bera,democrat,310032,563234,0.550449724270907
CA-7,California,CA,7,False,Andrew Grant,republican,253202,563234,0.44955027572909306
CA-8,California,CA,8,False,Paul Cook,republican,204830,341570,0.5996721023509091
CA-8,California,CA,8,False,Tim Donnelly,republican,136740,341570,0.40032789764909094
CA-9,California,CA,9,False,Jerry McNerney,democrat,226828,401526,0.5649148498478306
CA-9,California,CA,9,False,Marla Livengood,republican,174698,401526,0.4350851501521695
GA-1,Georgia,GA,1,False,"Earl L. """"Buddy"""" Carter",republican,144741,250683,0.577386579863812
GA-1,Georgia,GA,1,False,Lisa M. Ring,democrat,105942,250683,0.4226134201361879
GA-2,Georgia,GA,2,False,Herman West Jr,republican,92472,229171,0.40350655187610995
GA-2,Georgia,GA,2,False,Sanford Bishop,democrat,136699,229171,0.59649344812389
GA-3,Georgia,GA,3,False,Drew Ferguson,republican,191996,293006,0.6552630321563381
GA-3,Georgia,GA,3,False,Chuck Enderlin,democrat,101010,293006,0.3447369678436619
GA-4,Georgia,GA,4,False,Joe Profit,republican,61092,288809,0.21153080409544023
GA-4,Georgia,GA,4,False,"Henry C """"Hank"""" Johnson Jr",democrat,227717,288809,0.7884691959045598
GA-5,Georgia,GA,5,False,John R. Lewis,democrat,275406,275406,1.0
GA-6,Georgia,GA,6,False,Karen Handel,republican,156875,317032,0.4948238663604936
GA-6,Georgia,GA,6,False,Lucy McBath,democrat,160139,317032,0.5051193570365137
GA-7,Georgia,GA,7,False,Rob Woodall,republican,140430,280441,0.5007470377013347
GA-7,Georgia,GA,7,False,Carolyn Bourdeaux,democrat,140011,280441,0.49925296229866534
GA-8,Georgia,GA,8,False,Austin Scott,republican,198152,198716,0.9971617786187322
GA-9,Georgia,GA,9,False,Doug Collins,republican,224661,282578,0.795040661339524
GA-9,Georgia,GA,9,False,Josh McCall,democrat,57912,282578,0.2049416444309182
GA-10,Georgia,GA,10,False,Jody Hice,republican,190396,302735,0.6289196822303335
GA-10,Georgia,GA,10,False,Tabitha A. Johnson-Green,democrat,112339,302735,0.37108031776966655
